`manufacturers_id`;`languages_id`;`manufacturers_url`;`url_clicked`;`date_last_click`;`manufacturers_htc_title_tag`;`manufacturers_htc_desc_tag`;`manufacturers_htc_keywords_tag`
1;1;;0;`0000-00-00 00:00:00`;;;
2;1;;0;`0000-00-00 00:00:00`;;;
3;1;;0;`0000-00-00 00:00:00`;;;
4;1;;0;`0000-00-00 00:00:00`;;;
5;1;;0;`0000-00-00 00:00:00`;;;
6;1;;0;`0000-00-00 00:00:00`;;;
7;1;;0;`0000-00-00 00:00:00`;;;
8;1;;0;`0000-00-00 00:00:00`;;;
9;1;;0;`0000-00-00 00:00:00`;;;
10;1;;0;`0000-00-00 00:00:00`;;;
11;1;;0;`0000-00-00 00:00:00`;;;
12;1;;0;`0000-00-00 00:00:00`;;;
13;1;;0;`0000-00-00 00:00:00`;;;
14;1;;0;`0000-00-00 00:00:00`;;;
15;1;;0;`0000-00-00 00:00:00`;;;
16;1;;0;`0000-00-00 00:00:00`;;;
17;1;;0;`0000-00-00 00:00:00`;;;
18;1;;0;`0000-00-00 00:00:00`;;;
19;1;;0;`0000-00-00 00:00:00`;;;
20;1;;0;`0000-00-00 00:00:00`;;;
21;1;;0;`0000-00-00 00:00:00`;;;
22;1;;0;`0000-00-00 00:00:00`;;;
23;1;;0;`0000-00-00 00:00:00`;;;
24;1;;0;`0000-00-00 00:00:00`;;;
25;1;;0;`0000-00-00 00:00:00`;;;
26;1;;0;`0000-00-00 00:00:00`;;;
27;1;;0;`0000-00-00 00:00:00`;;;
28;1;;0;`0000-00-00 00:00:00`;;;
29;1;;0;`0000-00-00 00:00:00`;;;
30;1;;0;`0000-00-00 00:00:00`;;;
31;1;;0;`0000-00-00 00:00:00`;;;
32;1;;0;`0000-00-00 00:00:00`;;;
33;1;;0;`0000-00-00 00:00:00`;;;
34;1;;0;`0000-00-00 00:00:00`;;;
35;1;;0;`0000-00-00 00:00:00`;;;
36;1;;0;`0000-00-00 00:00:00`;;;
37;1;;0;`0000-00-00 00:00:00`;;;
38;1;;0;`0000-00-00 00:00:00`;;;
39;1;;0;`0000-00-00 00:00:00`;;;
40;1;;0;`0000-00-00 00:00:00`;;;
41;1;;0;`0000-00-00 00:00:00`;;;
42;1;;0;`0000-00-00 00:00:00`;;;
43;1;;0;`0000-00-00 00:00:00`;;;
44;1;;0;`0000-00-00 00:00:00`;;;
45;1;;0;`0000-00-00 00:00:00`;;;
46;1;;0;`0000-00-00 00:00:00`;;;
47;1;;0;`0000-00-00 00:00:00`;;;
48;1;;0;`0000-00-00 00:00:00`;;;
49;1;;0;`0000-00-00 00:00:00`;;;
50;1;;0;`0000-00-00 00:00:00`;;;
51;1;;0;`0000-00-00 00:00:00`;;;
52;1;;0;`0000-00-00 00:00:00`;;;
53;1;;0;`0000-00-00 00:00:00`;;;
54;1;;0;`0000-00-00 00:00:00`;;;
55;1;;0;`0000-00-00 00:00:00`;;;
56;1;;0;`0000-00-00 00:00:00`;;;
57;1;;0;`0000-00-00 00:00:00`;;;
58;1;;0;`0000-00-00 00:00:00`;;;
59;1;;0;`0000-00-00 00:00:00`;;;
60;1;;0;`0000-00-00 00:00:00`;;;
61;1;;0;`0000-00-00 00:00:00`;;;
62;1;;0;`0000-00-00 00:00:00`;;;
63;1;;0;`0000-00-00 00:00:00`;;;
64;1;;0;`0000-00-00 00:00:00`;;;
65;1;;0;`0000-00-00 00:00:00`;;;
66;1;;0;`0000-00-00 00:00:00`;;;
67;1;;0;`0000-00-00 00:00:00`;;;
68;1;;0;`0000-00-00 00:00:00`;;;
69;1;;0;`0000-00-00 00:00:00`;;;
70;1;;0;`0000-00-00 00:00:00`;;;
71;1;;0;`0000-00-00 00:00:00`;;;
72;1;;0;`0000-00-00 00:00:00`;;;
73;1;;0;`0000-00-00 00:00:00`;;;
74;1;;0;`0000-00-00 00:00:00`;;;
75;1;;0;`0000-00-00 00:00:00`;;;
76;1;;0;`0000-00-00 00:00:00`;;;
77;1;;0;`0000-00-00 00:00:00`;;;
78;1;;0;`0000-00-00 00:00:00`;;;
79;1;;0;`0000-00-00 00:00:00`;;;
80;1;;0;`0000-00-00 00:00:00`;;;
81;1;;0;`0000-00-00 00:00:00`;;;
82;1;;0;`0000-00-00 00:00:00`;;;
83;1;;0;`0000-00-00 00:00:00`;;;
84;1;;0;`0000-00-00 00:00:00`;;;
85;1;;0;`0000-00-00 00:00:00`;;;
86;1;;0;`0000-00-00 00:00:00`;;;
87;1;;0;`0000-00-00 00:00:00`;;;
88;1;;0;`0000-00-00 00:00:00`;;;
89;1;;0;`0000-00-00 00:00:00`;;;
90;1;;0;`0000-00-00 00:00:00`;;;
91;1;;0;`0000-00-00 00:00:00`;;;
92;1;;0;`0000-00-00 00:00:00`;;;
93;1;;0;`0000-00-00 00:00:00`;;;
94;1;;0;`0000-00-00 00:00:00`;;;
95;1;;0;`0000-00-00 00:00:00`;;;
96;1;;0;`0000-00-00 00:00:00`;;;
97;1;;0;`0000-00-00 00:00:00`;;;
98;1;;0;`0000-00-00 00:00:00`;;;
99;1;;0;`0000-00-00 00:00:00`;;;
100;1;;0;`0000-00-00 00:00:00`;;;
101;1;;0;`0000-00-00 00:00:00`;;;
102;1;;0;`0000-00-00 00:00:00`;;;
103;1;;0;`0000-00-00 00:00:00`;;;
104;1;;0;`0000-00-00 00:00:00`;;;
105;1;;0;`0000-00-00 00:00:00`;;;
106;1;;0;`0000-00-00 00:00:00`;;;
107;1;;0;`0000-00-00 00:00:00`;;;
108;1;;0;`0000-00-00 00:00:00`;;;
109;1;;0;`0000-00-00 00:00:00`;;;
110;1;;0;`0000-00-00 00:00:00`;;;
111;1;;0;`0000-00-00 00:00:00`;;;
112;1;;0;`0000-00-00 00:00:00`;;;
113;1;;0;`0000-00-00 00:00:00`;;;
114;1;;0;`0000-00-00 00:00:00`;;;
115;1;;0;`0000-00-00 00:00:00`;;;
116;1;;0;`0000-00-00 00:00:00`;;;
117;1;;0;`0000-00-00 00:00:00`;;;
118;1;;0;`0000-00-00 00:00:00`;;;
119;1;;0;`0000-00-00 00:00:00`;;;
120;1;;0;`0000-00-00 00:00:00`;;;
121;1;;0;`0000-00-00 00:00:00`;;;
122;1;;0;`0000-00-00 00:00:00`;;;
123;1;;0;`0000-00-00 00:00:00`;;;
124;1;;0;`0000-00-00 00:00:00`;;;
125;1;;0;`0000-00-00 00:00:00`;;;
126;1;;0;`0000-00-00 00:00:00`;;;
127;1;;0;`0000-00-00 00:00:00`;;;
128;1;;0;`0000-00-00 00:00:00`;;;
129;1;;0;`0000-00-00 00:00:00`;;;
130;1;;0;`0000-00-00 00:00:00`;;;
131;1;;0;`0000-00-00 00:00:00`;;;
132;1;;0;`0000-00-00 00:00:00`;;;
133;1;;0;`0000-00-00 00:00:00`;;;
134;1;;0;`0000-00-00 00:00:00`;;;
135;1;;0;`0000-00-00 00:00:00`;;;
136;1;;0;`0000-00-00 00:00:00`;;;
137;1;;0;`0000-00-00 00:00:00`;;;
138;1;;0;`0000-00-00 00:00:00`;;;
139;1;;0;`0000-00-00 00:00:00`;;;
140;1;;0;`0000-00-00 00:00:00`;;;
141;1;;0;`0000-00-00 00:00:00`;;;
142;1;;0;`0000-00-00 00:00:00`;;;
143;1;;0;`0000-00-00 00:00:00`;;;
144;1;;0;`0000-00-00 00:00:00`;;;
145;1;;0;`0000-00-00 00:00:00`;;;
146;1;;0;`0000-00-00 00:00:00`;;;
147;1;;0;`0000-00-00 00:00:00`;;;
